,ArticleId,Text,Category,num_of_tokens
127,306,faultless federer has no equal roger federer - nice bloke  fantastic tennis player - the ultimate sportsman.  when lleyton hewitt shook his hand after getting another thrashing  a third in as many months  the australian said;  you re the best.  how right he is. the stats speak for themselves: 11 titles from 11 finals during 2004 - three of them grand slams - and 13 final victories in a row going back to vienna 2003. that s an open-era record. hewitt  at times in houston  showed form which easily matched his grand slam-winning efforts of 2001 and 2002. but he was outplayed. twice. hewitt  along with andy roddick and marat safin  is sure to be prominent during 2005. but realistically  all three will be fighting for the world number two ranking. according to all those players and even federer himself  the swiss star is in a different league.   right now i feel that a little bit   he told bbc sport.  i ve dominated all the top ten players. they say nice things about me because i have beaten them all. i am dominating the game right now and i hope it continues!  the number one player in the world is also the main man for promoting the sport off court. he has just been voted  by the international tennis writers  as the best  ambassador for tennis  on the atp tour. he has time for everyone. every match  from first round to final  is followed by a series of press interviews in three languages; english  french and swiss-german. after a major win  there are extra requests  obligations and interviews  all seen through to the end with courtesy and  most importantly  good humour.  you guys are funny  i have a good time with you guys   he said  genuinely happy to talk into yet another tape recorder.  i see you pretty much every day on the tour so to give away an hour for interviews is really no problem for me.  if i can promote tennis and the sport then that is good for me. people say thanks back and that is nice.  what a refreshing attitude from someone who could easily dominate the sports pages for a decade. it sums up his modest personality. shortly after collecting a waterford crystal trophy  a mercedes convertible and a tasty cheque for $1.5m  federer addressed the houston crowd and concluded by saying  thanks for having me . now he just needs to find a way of winning the french open  the one grand slam to so far elude him.,sport,525
457,1717,regiments  group in poll move a regiments  campaign group is to target nine marginal labour seats at the general election.  save the scottish regiments will also field a candidate against armed forces minister adam ingram in east kilbride. the group  which is unhappy at defence merger plans  is endorsing opposition candidates in nine seats. the marginals are aberdeen south  dumfriesshire  dundee east and west  south west edinburgh  ochil  stirling  east renfrewshire and western isles. the campaigners unveiled a huge poster featuring black watch soldiers fighting the war in iraq before they announced their election plans.  former scots guardsman allan hendry will challenge mr ingram. the group said it is well organised  with 350 volunteers  and will be announcing at least one other candidate later. it added that it can only be stopped from inflicting serious damage on labour if the government reverses its plan to merge the six scottish regiments.  scotland s only conservative mp peter duncan said the save the scottish regiments had done a  superb job  in fighting against defence cuts. he added:  their actions have reflected the pride that most people in this country have in our troops  and have shown a steely determination to make labour pay for their betrayal.  i have been honoured to speak at their rallies throughout scotland.  scottish national party leader alex salmond said it had received a  big boost  from the campaign s decision to endorse snp candidates in four marginal seats.   labour s arrogance has been their undoing. in trying to get rid of scotland s historic regiments  labour mps will end up being scrapped themselves   he said. however  labour mp george foulkes said the campaigners would not make any difference to the outcome of the election and would not win the argument.  a serving soldier knows that what labour is proposing is right   he said. as well as their election move  save the scottish regiments will join other campaigners at a rally in london in the spring. defence secretary geoff hoon announced last year that scotland s regiments would be combined into a single unit. the move was part of overall army reforms.,politics,459
1030,644,rusedski angry over supplements greg rusedski has criticised the governing body of men s tennis for not releasing contamination-free supplements in time for the new season.  rusedski said:  i tried to order some but didn t receive any and i haven t got any yet.  you would think they would have been available in december as it can take two months for the body to respond.  this event comes in the hottest period of the year  so you would hope the stuff would be available for it.  the british number two escaped a possible ban last year when he persuaded a tribunal that a positive doping test was the result of contaminated atp supplements. in response  the atp struck a deal with pharmaceutical company glaxosmithkline to provide contamination-free drinks and nutritional bars for the men s tour.  david higdon  vice president of the atp  admitted:  i agree with greg.  i would have loved to have had these things available as soon as possible but it s a lot of work to make sure they have gone through rigorous testing.  the reality is though that the first two weeks of the tour are spread far and wide and part of the distribution agreement we had with gsk has an education component.  we weren t going to just drop these products out there without having a talk with the players about understanding how to use them.   the first chance we will get to do that is at the players meeting on the saturday before the australian open.  and rusedski  who takes on roger federer at the qatar open later on wednesday  conceded that the imminent changes will be beneficial.  the good thing is that there is now a 100% guarantee  so hopefully all this will never happen again   said rusedski.  hopefully after the australian open we won t have to discuss this any more.,sport,384
841,174,commons hunt protest charges eight protesters who stormed the house of commons chamber during a debate on the hunting bill have been charged with disorderly conduct.  the men were arrested in september after bursting into the chamber causing a hunting ban debate to be halted. those charged included otis ferry  the 22-year-old son of rock star bryan ferry and luke tomlinson  27  a close friend of princes william and harry. they were charged under section 5 of the public order act  police said.  five of the eight men held an impromptu news conference outside charing cross police station on monday evening  after the charges were formerly put to them. the men s solicitor matthew knight  said that at no time had it occurred to the men that they were committing a criminal offence.   there is no offence of trespassing in the house of commons - it is not a criminal offence   he said.  if parliament wanted to make entering the house of commons chamber on foot a criminal offence it should have done so  but it can t do so retrospectively.  we are not prosecuted for that. we are prosecuted for a public order act offence. we are not guilty of it.  they will appear at bow street magistrates  court on 21 december  a police spokesman said. otis ferry  a former eton pupil and joint leader of the south shropshire hunt  said:  i have no regrets.  we have done nothing wrong beyond the obvious which was to stand up for our rights and not act like a sheep like the rest of the country.  one of the men  david redvers  34  from hartpury  gloucestershire  said he and the other seven protesters would plead not guilty to the charges.  the other protesters are john holliday  37  a huntsman from ledbury  herefordshire  robert thame  34  who plays polo with princes charles in team highgrove  auctioneer andrew elliot  42  from bromesberrow  near ledbury  point-to-point jockey richard wakeham  34  from york  and former royal chef nick wood  41. the 15 september protest came on the same day as a huge pro-hunting demonstration in parliament square. four of the men ran out from behind the speaker s chair while another wrestled past a doorkeeper from a different entrance. the five tried to confront mps before they were bundled out of the chamber and later led away handcuffed by police. three others had been intercepted by security staff as they tried to join the five in the chamber.  speaker michael martin later said the men had used a forged letter to gain access to the house of commons and had been helped to get close to the chamber by a parliamentary pass holder. in november  the use of the parliament act meant a total ban on hunting with dogs in england and wales. however  many pro-hunt activists remained defiant after the law was passed  saying they would ignore the ban and continue to hunt. last week  the countryside alliance said more than 250 hunts would meet legally the day after the ban on hunting with dogs comes into force. the alliance said the 19 february meets would show the new law was  impossibly difficult to determine  and open to different interpretations.,politics,670
677,766,lufthansa flies back to profit german airline lufthansa has returned to profit in 2004 after posting huge losses in 2003.  in a preliminary report  the airline announced net profits of 400m euros ($527.61m; £274.73m)  compared with a loss of 984m euros in 2003. operating profits were at 380m euros  ten times more than in 2003. lufthansa was hit in 2003 by tough competition and a dip in demand following the iraq war and the killer sars virus. it was also hit by troubles at its us catering business. last year  lufthansa showed signs of recovery even as some european and us airlines were teetering on the brink of bankruptcy. the board of lufthansa has recommended paying a 2004 dividend of 0.30 euros per share. in 2003  shareholders did not get a dividend. the company said that it will give all the details of its 2004 results on 23 march.,business,204
50,904,telewest to challenge sky plus cable firm telewest is to offer a personal video recorder (pvr) in a set -top box to challenge sky plus.  sky plus is the market leader in the field of digital video recorders in the uk  with 474 000 subscribers. pvrs record tv programmes to a hard drive  letting viewers pause  and rewind live television and effectively  time shift  the viewing experience. a number of pvrs incorporating freeview digital terrestrial tv are also on the market but their success is limited. telewest s pvr will offer a 160gb hard drive  which has storage for up to 80 hours of programmes. the box has three tuners  which means viewers can record two channels simultaneously while watching a third channel.  sky plus boxes come in two versions - a 20gb version for £99 and a 160gb version for £399. sky also charges a £10 subscription fee to the service  unless viewers have a subscription to one of its premium packages. telewest has yet to reveal pricing for the new box or if it will be charging a subscription fee for the service.  eric tveter  president and chief operating officer at telewest broadband  said:  we will make our pvr set-top box available later this year  putting a stop to missed soaps  interrupted films and arguments over which programmes to record.  pvrs and recordable dvd players are set to replace video recorders as the standard method of recording and saving favourite tv programmes. last year  high street retailer dixons said it was going to stop selling vhs machines in favour of pvrs and recordable dvd machines. sky has said it aims to have 25% of its subscribers using sky plus by 2010 - it is predicting 10 million total subscribers by that date. it currently has 7.4 million subscribers  while telewest provides digital cable to 1.7 million customers.,tech,396
21,177,carry on star patsy rowlands dies actress patsy rowlands  known to millions for her roles in the carry on films  has died at the age of 71.  rowlands starred in nine of the popular carry on films  alongside fellow regulars sid james  kenneth williams and barbara windsor. she also carved out a successful television career  appearing for many years in itv s well-loved comedy bless this house. rowlands died in hove on saturday morning  her agent said.  born in january 1934  rowlands won a scholarship to the guildhall school of speech and drama scholarship when she was just 15.  after spending several years at the players theatre in london  she made her film debut in 1963 in tom jones  directed by tony richardson. she made her first carry on film in 1969 where she appeared in carry on again doctor. rowlands played the hard-done-by wife or the put-upon employee as a regular carry on star. she also appeared in carry on at your convenience  carry on matron and carry on loving  as well as others.  in recent years she appeared in bbc mini-series the cazalets and played mrs potts in the london stage version of beauty and the beast. agent simon beresford said:  she was just an absolutely favourite client she never complained about anything  particularly when she was ill  she was an old trouper.  she was of the old school - she had skills from musical theatre and high drama  that is why she worked with the great and the good of directors.  she didn t mind always being recognised for the carry on films because she thoroughly enjoyed making them. she was a really lovely person and she will be much missed.  her last appearance on stage was as mrs pearce in the award-winning production of my fair lady at the national theatre. previously married  she leaves one son  alan. her funeral will be a private  family occasion  with a memorial service at a later date.,entertainment,408
70,210,aragones angered by racism fine spain coach luis aragones is furious after being fined by the spanish football federation for his comments about thierry henry.  the 66-year-old criticised his 3000 euros (£2 060) punishment even though it was far below the maximum penalty.  i am not guilty  nor do i accept being judged for actions against the image of the sport   he said.  i m not a racist and i ve never lacked sporting decorum. i ve never done that and i have medals for sporting merit.  aragones was handed the fine on tuesday after making racist remarks about henry to arsenal team-mate and spanish international jose reyes last october.  the spanish football federation at first declined to take action against aragones  but was then requested to do so by spain s anti-violence commission. the fine was far less than the expected amount of about £22 000 or even the suspension of his coaching licence. arsenal boss arsene wenger  who was fined £15 000 in december for accusing manchester united striker ruud van nistelrooy of cheating  believes that aragones  punishment was too lenient.  you compare his fine and my fine  and if you consider his was for racist abuse  then you seem to get away with it more in spain than you should   wenger said.  he shouldn t have said what he said  and how much money is enough  i don t know but it doesn t look a big punishment.  however  aragones insists the fine is unjustified and unfair.  i have been treated like islero (the bull that killed famous bullfighter manolete)   said aragones on hearing he had been fined for his actions.  i have not liked one thing about this whole affair and i do not agree with the sanction. they have looked for a scapegoat.  spain s anti-violence commission must now ratify the spanish fa s decision and has until next week to announce its verdict. aragones has 10 days to appeal  and the commission can also appeal. alberto flores  president of the spanish fa s disciplinary committee  said no-one in the committee felt aragones was a racist nor had  acted in a racist way.   a fine  the highest we could apply  is sufficient punishment. suspension would have been a bit exaggerated   flores told sports daily marca.,sport,504
1429,1920,iraqis win death test case probe the family of an iraqi civilian allegedly killed by uk troops have won a challenge against the government s refusal to order a full inquiry.  the high court ruled on tuesday that baha mousa s death in british custody in iraq fell within the european convention on human rights. and the judges paved the way for an independent inquiry by saying previous investigations were inadequate. but judicial reviews into five other deaths in southern iraq were ruled out. their families will be appealing against the judgement.  the families  solicitor phil shiner described it as  a historic day for human rights and the rule of law in the uk . father-of-two mr mousa  28  a hotel receptionist  was arrested with eight men seized at a hotel in basra in september 2003. he was allegedly beaten to death while in the custody of the queen s lancashire regiment. the iraqi families  lawyer argued that failing to adequately investigate the death breached the european convention on human rights.  ministry of defence lawyers argued the uk-controlled area of southern iraq was outside european jurisdiction. but lord justice rix and mr justice forbes ruled that uk jurisdiction could extend to a uk-run prison  but did not apply  to the total territory of another state . they said as mr mousa was in custody when he died  his case came within the uk s jurisdiction. the other five iraqis did not die in custody  so their cases had to fail  they said.  and it was difficult to say that the investigation which had already occurred  has been timely  open or effective   the judges said. after the ruling carla ferstman  legal director of the human rights organisation redress  said:  it is not enough for the military to investigate behind closed doors.  there must be an effective public investigation by an independent official body. only such an investigation could reveal what really happened and who might be responsible.  other allegations involving british soldiers included the shooting of an iraqi police commissioner and the shooting of four iraqi civilians in may 2003. both sides were granted permission to appeal.  prime minister tony blair s official spokesman said:  obviously we will need to study this detailed judgment. i would point out  however  that a separate criminal case is currently being considered by the army prosecuting authority.  i can t say anything further for obvious reasons. the mod are considering whether to appeal.  but former british commander colonel bob stewart said :  anyone at the top [of the military] will be saddened by the verdict that has taken place but will say:  if there s a case to answer  let s have it out. because we don t want people thinking that british soldiers beat up civilians and get away with it    he said.  the ministry of defence does everything in its power to try to prove we act ethically and properly under the rules of war.,politics,606
228,1098,ask jeeves joins web log market ask jeeves has bought the bloglines website to improve the way it handles content from web journals or blogs.  the bloglines site has become hugely popular as it gives users one place in which to read  search and share all the blogs they are interested in. ask jeeves said it was not planning to change bloglines but would use the 300 million articles it has archived to round out its index of the web. how much ask jeeves paid for bloglines was not revealed.  bloglines has become popular because it lets users build a list of the blogs they want to follow without having to visit each journal site individually. to do this it makes use of a technology known as really simple syndication (rss) that many blogs have adopted to let other sites know when new entries are made on their journals. the acquisition follows similar moves by other search sites. google acquired pyra labs  makers of the blogger software  in 2003. in 2004 msn introduced its own blog system and yahoo has tweaked its technology to do a better job of handling blog entries. jim lanzone  vice president of search properties at ask jeeves in the us  said it did not acquire bloglines just to get a foothold in the blog publishing world. he said ask jeeves was much more interested in helping people find information they were looking for rather than helping them write it.   the universe of readers is vastly larger than the universe of writers   he said. mr lanzone said the acquisition would sit well with ask s my jeeves service which lets people customise their own web experience and build up a personal collection of useful links.  search engines are about discovering information for the first time and rss is the ideal way to keep track of and monitor those sites   he said. it would also help drive information and entries from blogs to the portals that ask jeeves operates. there would be no instant sweeping changes to bloglines  said mr lanzone.  our intent is to take our time to figure out the right business model not to try to monetise it right away   he said. though mr lanzone added that ask jeeves would be helping organise the database of 300m blog entries bloglines holds with its own net indexing technology.  being able to search the blogosphere as one corpus of information will be very useful in its own right   said mr lanzone. rumours about the acquisition were broken by the napsterization weblog which said it got the hint from ask jeeves insiders.,tech,532
107,1843,mitsubishi in peugeot link talks trouble-hit mitsubishi motors is in talks with french carmaker psa peugeot citroen about a possible alliance.  on tuesday mitsubishi  the only major japanese car firm in the red  confirmed earlier reports of negotiations. but a spokesman refused to comment on speculation that mitsubishi could end up building cars for psa and perhaps its japanese rival nissan. mitsubishi has been hit by a recall scandal and the withdrawal of support from shareholder daimlerchrysler. the us-german firm  once a majority shareholder  decided last april to stop providing financial backing. mitsubishi s sales have slid 41% in the past year  catalysed by the revelation that the company had systematically been hiding records of faults and then secretly repairing vehicles. mitsubishi is due to unveil a recovery plan later in january. analysts said that alliances with other carmakers would be a necessary part of whatever it came up with  not least because its own slow sales have left its manufacturing capacity under-used.,business,238
686,37,gamers snap up new sony psp gamers have bought almost all of the first batch of sony s new playstation portable (psp) games console  which went on sale in japan on sunday.  thousands of people queued for hours to get hold of one of the 200 000 psps which were shipped to retailers. the handheld console can play games  music and movies and goes on sale in europe and north america next year. despite the demand sony said it would not increase the 500 000-strong stock of psps it plans to ship by year s end.  sony says it intends to ship three million of the consoles by march 2005. the company is hoping to challenge the dominance of nintendo in the handheld market. nintendo released its new ds console earlier this year and has already raised shipment targets for the device by 40%. the psp is selling in japan for 19 800 yen ($188; £98) while nintendo s ds console sells in the us and japan for $150 (£78). nintendo s goal is to ship 5 million of its new nintendo ds handheld consoles by march 2005.,tech,255
200,439,sa return to mauritius top seeds south africa return to the scene of one of their most embarrassing failures when they face the seychelles in the cosafa cup next month.  last year bafana bafana were humbled in the first by minnows mauritius who beat them 2-0 in curepipe. coach stuart baxter and his squad will return to curepipe face the seychelles in their first game of the new-look regional competition. the format of the event has been changed this year after the entry of the seychelles  who have taken the number of participants to 13. the teams are now divided into three group of four and play knock-out matches on successive days to determine the group champions. mauritius host the first group  and their opponents are madagascar  the seychelles and south africa. bafana bafana play the seychelles before mauritius take on madagascar in a double-header on 26 february. the two winners return to the new george v stadium the next day and the victor of the group decider advances to august s final mini-tournament. the second group will be hosted in namibia in april. it comprises zimbabwe  botswana  mozambique and the hosts. in june  former champions zambia will host lesotho  malawi and swaziland in the third group in lusaka. the three group winners will then join title holders angola for the last of the mini-tournaments in august  where the winners will be crowned.  seychelles v south africa  mauritius v madagascar  winners meet in final match  mozambique v zimbabwe  namibia v botswana  winners meet in final match  lesotho v malawi  zambia v swaziland  winners meet in final match,sport,410
138,251,wenger handed summer war chest arsenal boss arsene wenger has been guaranteed transfer funds to boost his squad the summer.  the club s managing director  keith edelman  stressed that the development of their new £350m stadium had no affect on wenger s spending power.  the money is there. don t worry we ve got it   edelman told bbc sport.  hopefully  we ll spend it this summer and in the coming years. arsene attends all our board meetings and he knows our finances are very strong.   edelman added that it was pointless having a brand new stadium if the team did not match the surroundings.  its great to have nice  new surroundings  but if the team aren t performing on the pitch  then there isn t great respect in having a fabulous stadium   he said.  it s important that we had sufficient funds for our team in place  before we began on the stadium.,sport,187
1162,1913,elvis fans hold birthday bash elvis fans around the world have been marking the legendary singer s 70th birthday on saturday.  a three-day elvis convention took place in blackpool  england  over the weekend with the aim of finding the best european elvis impersonator. his graceland  tennessee  home was the focus for us celebrations with four days of events including a concert by the memphis symphony orchestra. elvis  single jailhouse rock became the uk s number one on sunday. fans in france celebrated with a tribute concert by elvis cover bands and a special exhibition of memorabilia is on display in bonn  germany.  jailhouse rock is now the 999th number one single in uk pop history. record company sonybmg are releasing elvis  18 number one singles at the rate of one a week in britain  complete with original artwork and a collector s box. hit single one night will follow next week - with the chance of becoming the 1 000th number one as interest surrounding elvis  birthday grows. hmv spokesman gennaro castaldo said:  it would be a fantastic and truly fitting way to celebrate elvis  landmark birthday.,entertainment,251
334,351,sky takes over oscar night mantle sky has signed a major new deal to broadcast this year s academy awards  taking over from three years of live oscar coverage on the bbc.  sky said it was  honoured to have won exclusive broadcasting rights  and promised to cover the event  in a way no other broadcaster could . the bbc denied it had lost a bidding war  saying it had  decided to pass the mantle to another broadcaster . the ceremony  hosted by newcomer chris rock  takes place on 27 february 2005.  sky s coverage will launch with the nominations on 25 january and will include themed programming across sky channels including sky news  sky travel and the biography channel. there will also be a month-long season of oscar-winning films on sky movies in the run up to the event and live uninterrupted coverage on the night.  we are honoured to have won the live and exclusive broadcasting rights for the academy awards   said sky networks  sophie turner laing.  sky is the natural place to see the biggest and most prestigious film event of the year  and will cover the event in a way that no other broadcaster could.   sky first scooped oscar rights from the bbc in 1999  but the bbc won them back in 2001 when sky was forced to pull out of a bidding war due to financial constraints.  bbc viewers will of course be able to watch quality coverage of the 2005 academy awards on the bbc s bulletins and news programmes   a spokesman said. among the films tipped to do well at this year s academy awards are martin scorsese s the aviator  jean-pierre jeunet s a very long engagement and the ray charles biopic  ray.,entertainment,355
17,486,hantuchova in dubai last eight daniela hantuchova moved into the quarter-finals of the dubai open  after beating elene likhotseva of russia 7-5 6-4  and now faces serena williams.  australian open champion williams survived an early scare to beat russia s elena bovina 1-6 6-1 6-4. world number one lindsay davenport and anastasia myskina also progressed. davenport defeated china s jie zheng 6-2 7-5  while french open champion myskina sailed through after her opponent marion bartoli retired hurt. american davenport will now face fellow former wimbledon champion  conchita martinez of spain  who ousted seventh-seeded nathalie dechy of france 6-1 6-2. myskina will face eighth-seed patty schnyder from switzerland  who defeated china s li na 6-3 7-6 (10-8). the other quarter final pits wild card sania mirza of india against jelena jankovic of serbia and montenegro  who both won on tuesday.  before her meeting with martinez  davenport believes there is some room for improvement in her game.  i started well and finished well  but played some so-so games in the middle   she said. williams was also far from content.  i don t know what i was doing there   she said.  it was really windy and i hadn t played in the wind. all my shots were going out of here.  but hantuchova is in upbeat mood ahead of her clash with the younger williams sister  who was handed a first-round bye.  i feel i have an advantage (over serena) because i have already played two matches on these courts   she said.  it is a difficult court to play on. very fast and sometimes you feel you have no control over the ball.,sport,434
1017,1790,us tv special for tsunami relief a us television network will screen a celebrity tv special to benefit the tsunami relief effort in south asia.  nbc will encourage viewer donations during an hour-long show featuring musical performances on 15 january. actress sandra bullock has donated $1m (£525 000) to the american red cross and actor leonardo dicaprio pledged a  sizable  aid contribution to unicef. meanwhile 70 hong kong music and movie stars re-recorded we are the world in mandarin and cantonese to raise funds.  the song will not be released as a single  but will be played regularly during a chinese telethon on friday in aid of victims of the boxing day disaster. around 140 000 people were killed and five million left homeless or without food and water after an earthquake below the indian ocean sent waves crashing into coastal communities in 11 countries.  the united nations warned that the number killed in the disaster could rise sharply  with aid yet to reach some remote areas. performers have yet to be confirmed for nbc s aid relief benefit later this month. it follows a two-hour telethon carried by all four major us television networks 10 days after the 11 september terror attacks in 2001. america: a tribute to heroes raised more than $150m (£79m) to help victims of the suicide attacks on the world trade center and pentagon.,entertainment,301
32,2002,china continues rapid growth china s economy has expanded by a breakneck 9.5% during 2004  faster than predicted and well above 2003 s 9.1%.  the news may mean more limits on investment and lending as beijing tries to take the economy off the boil. china has sucked in raw materials and energy to feed its expansion  which could have knock-on effects on the rest of the world if it overheats. but officials pointed out that industrial growth had slowed  with services providing much of the impetus. growth in industrial output - the main target of government efforts to impose curbs on credit and investments - was 11.5% in 2004  down from 17% the previous year.  still  consumer prices - at 2.4% - rose faster than in 2004  adding to concern that a sharp rise in producer prices of 7.1% could stoke inflation. and overall investment in fixed assets was still high  up 21.3% from the previous year - although some way off the peak of 43% seen in the first quarter of 2004. the result could be higher interest rates. china raised rates by 0.27 percentage points to 5.8% - its first hike in nine years - in october 2004.  despite the apparent rebalancing of the economy the overall growth picture remains strong  economists said.  there is no sign of a slowdown in 2005   said tim congdon  economist at ing barings.  china s economy is not only gathering speed thanks to domestic demand  but also from soaring sales overseas. figures released earlier this year showed exports at a six-year high in 2004  up 35%. part of the impetus comes from the relative cheapness of the yuan  china s currency. the government keeps it pegged close to a rate of 8.28 to the us dollar  - much to the chagrin of many us lawmakers who blame china for lost jobs and competitiveness. despite urging to ease the peg  officials insist they are a long way from ready to make a shift to a more market-set rate.  we need a good and feasible plan and formulating such a plan also needs time   national bureau of statistics chief li deshui told reuters.  those who hope to make a fortune by speculating on a renminbi revaluation will not succeed in making a profit.,business,483
233,2,worldcom boss  left books alone  former worldcom boss bernie ebbers  who is accused of overseeing an $11bn (£5.8bn) fraud  never made accounting decisions  a witness has told jurors.  david myers made the comments under questioning by defence lawyers who have been arguing that mr ebbers was not responsible for worldcom s problems. the phone company collapsed in 2002 and prosecutors claim that losses were hidden to protect the firm s shares. mr myers has already pleaded guilty to fraud and is assisting prosecutors.  on monday  defence lawyer reid weingarten tried to distance his client from the allegations. during cross examination  he asked mr myers if he ever knew mr ebbers  make an accounting decision  .  not that i am aware of   mr myers replied.  did you ever know mr ebbers to make an accounting entry into worldcom books   mr weingarten pressed.  no   replied the witness. mr myers has admitted that he ordered false accounting entries at the request of former worldcom chief financial officer scott sullivan. defence lawyers have been trying to paint mr sullivan  who has admitted fraud and will testify later in the trial  as the mastermind behind worldcom s accounting house of cards.  mr ebbers  team  meanwhile  are looking to portray him as an affable boss  who by his own admission is more pe graduate than economist. whatever his abilities  mr ebbers transformed worldcom from a relative unknown into a $160bn telecoms giant and investor darling of the late 1990s. worldcom s problems mounted  however  as competition increased and the telecoms boom petered out. when the firm finally collapsed  shareholders lost about $180bn and 20 000 workers lost their jobs. mr ebbers  trial is expected to last two months and if found guilty the former ceo faces a substantial jail sentence. he has firmly declared his innocence.,business,401
715,424,little britain two top comic list little britain stars matt lucas and david walliams have been named the most powerful people in tv comedy  in a poll by listings magazine radio times.  the duo kept phoenix nights creator peter kay at number two and the office star ricky gervais in third place. a radio times panel compiled the list  taking the comedians  critical acclaim and financial success into account. newcomers to the annual list included nighty night star julia davis at seven and black books  tamsin greig at 19.  lucas and walliams won numerous awards for little britain in 2004  including national television  royal television society and british comedy awards. more than 1.8 million people watched the first episode of the latest series of little britain on bbc three in october  giving the digital channel its highest rating ever.  they topped the radio times list after rising from 10th position last year. other big risers over the past year included presenting duo ant and dec at five  up from 13 in 2004  stephen fry rising nine places to 15 and bbc three controller stuart murphy  who moves to number 18 from 32 last year. last year s winner  chat show host graham norton  fell to number 16 following relatively few television appearances in 2004. production companies also featured in the top 50  including steve coogan s baby cow  which created nighty night among others  hat trick - behind the kumars at number 42 - and the vicar of dibley production company tiger aspect.,entertainment,334
435,2175,lifestyle  governs mobile choice  faster  better or funkier hardware alone is not going to help phone firms sell more handsets  research suggests.  instead  phone firms keen to get more out of their customers should not just be pushing the technology for its own sake. consumers are far more interested in how handsets fit in with their lifestyle than they are in screen size  onboard memory or the chip inside  shows an in-depth study by telecommunications company ericsson.  historically in the industry there has been too much focus on using technology   said dr michael bjorn  senior advisor on mobile media at ericsson s consumer and enterprise lab.  we have to stop saying that these technologies will change their lives   he said.  we should try to speak to consumers in their own language and help them see how it fits in with what they are doing   he told the bbc news website.  for the study  ericsson interviewed 14 000 mobile phone owners on the ways they use their phone.  people s habits remain the same   said dr bjorn.  they just move the activity into the mobile phone as it s a much more convenient way to do it.   one good example of this was diary-writing among younger people  he said. while diaries have always been popular  a mobile phone -- especially one equipped with a camera -- helps them keep it in a different form. youngsters  use of text messages also reflects their desire to chat and keep in contact with friends and again just lets them do it in a slightly changed way. dr bjorn said that although consumers do what they always did but use a phone to do it  the sheer variety of what the new handset technologies make possible does gradually drive new habits and lifestyles. ericsson s research has shown that consumers divide into different  tribes  that use phones in different ways. dr bjorn said groups dubbed  pioneers  and  materialists  were most interested in trying new things and were behind the start of many trends in phone use.  for instance   he said   older people are using sms much more than they did five years ago.  this was because younger users  often the children of ageing mobile owners  encouraged older people to try it so they could keep in touch.  another factor governing the speed of change in mobile phone use was the simple speed with which new devices are bought by pioneers and materialists. only when about 25% of people have handsets with new innovations on them  such as cameras  can consumers stop worrying that if they send a picture message the person at the other end will be able to see it.  once this significant number of users is passed  use of new innovations tends to take off. dr bjorn said that early reports of camera phone usage in japan seemed to imply that the innovation was going to be a flop. however  he said  now 45% of the japanese people ericsson questioned use their camera phone at least once a month. in 2003 the figure was 29%. similarly  across europe the numbers of people taking snaps with cameras is starting to rise. in 2003 only 4% of the people in the uk took a phonecam snap at least once a month. now the figure is 14%. similar rises have been seen in many other european nations. dr bjorn said that people also used their camera phones in very different ways to film and even digital cameras.  usage patterns for digital cameras are almost exactly replacing usage patterns for analogue cameras   he said. digital cameras tend to be used on significant events such as weddings  holidays and birthdays. by contrast  he said  camera phones were being used much more to capture a moment and were being woven into everyday life.,tech,734
503,497,microsoft gets the blogging bug software giant microsoft is taking the plunge into the world of blogging.  it is launching a test service to allow people to publish blogs  or online journals  called msn spaces. microsoft is trailing behind competitors like google and aol  which already offer services which make it easy for people to set up web journals. blogs  short for web logs  have become a popular way for people to talk about their lives and express opinions online.  msn spaces is free to anyone with a hotmail or msn messenger account. people will be able to choose a layout for the page  upload images and share photo albums and music playlists. the service will be supported by banner ads.  this is a simple tool for people to express themselves   said msn s blake irving. this is microsoft s first foray into blogging  which has taken off as a web phenomenon in the past year. competitors like google already offer free services through its blogger site  while aol provides its members with journals. accurate figures for the number of blogs in existence are hard to come by. according to blog analysis firm technorati  the so-called blogosphere  has doubled every five and a half months for the last 18 months. it now estimates that the number of blogs in existence has exceeded 4.8 million  although some speculate that less than a quarter are regularly maintained.,tech,295
377,1277,henin-hardenne beaten on comeback justine henin-hardenne lost to elena dementieva in a comeback exhibition match in belgium on sunday for her second defeat in two days.  and the belgian  who has slipped to eight in the world after struggling with a virus  faces a tough australian open title defence next month.  i will be heading to australia with a lot of question marks over me  i know that   she said.  but i think there ll be less pressure than last time even if i am champion.  henin-hardenne was speaking after a 6-2 5-7 6-2 loss to world number six dementieva in charleroi  belgium  on sunday. the previous day  the olympic champion went down 6-2 7-5 to france s nathalie dechy.   i have to be positive  i still have a few weeks   she said.  my body has to get accustomed again to the stress  the rhythm.  henin-hardenne slid down the world rankings in the second half of 2004 after contracting the illness in april. after an initial lay-off  she was forced off the circuit for a second time after being knocked out of the french open in the second round. a comeback at the us open after a three-month absence ended when she crashed out at the fourth-round stage. but despite her problems  she still won five of the nine official tournaments she entered in 2004 and won olympic gold in athens  an achievement which saw her named belgian sportswoman of the year on friday.  physically  it s obvious that i hit rock bottom   said the 22-year-old  who will make her comeback in the sydney international from 10-16 january.  since april  with the exception of the olympics  i have not done much.  all the successes i had prior to that were mainly due to the work i put in on building up my fitness.  now it s time to get back to putting in 200% effort and i think i am capable of doing that.,sport,437
